Timestamp,CleanedTImestamp,Team,Player Number,Event Type,Possession Start?,Possession Start?,Possession End?,Shot Attempt?,Shot Outcome,Kick-out?,Kick-out Winner (Team),Turnover?,Score Value,Galway Goals,Galway Points,Cork Goals,Cork Points,Total Score for Cork,Total Score for Galway,Total Possession Count for Cork(auto-calculated),Total Possession Count for Galway(auto-calculated),Productivity for Cork (auto-calculated),Productivity for Galway (auto-calculated),Notes
29:43:00,00:29:43,Galway,9,Center Throw-in Win,Yes,1,No,No,N/A,No,N/A,No,"0.00,0.00",0,0,0,0,0,,0,1,,,Galway won the Center throw-in
29:23:00,00:29:23,Galway,15,Wide,No,0,Yes,Yes,Wide,No,N/A,No,"0.00,0.00",0,0,0,0,0,,0,0,,,
29:10:00,00:29:10,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,No,"0.00,0.00",0,0,0,0,0,,0,0,,,Cork kick-out after Galway wide
29:08:00,00:29:08,Cork,8,Possession,No,0,No,No,N/A,No,N/A,No,"0.00,0.00",0,0,0,0,0,,0,0,,,Possession retained
28:30:00,00:28:30,Galway,,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.00,0.00",0,0,0,0,0,,1,1,0,,Galway intercepted Cork pass
28:03:00,00:28:03,Cork,6,Foul Committed,No,0,No,No,N/A,No,N/A,No,"0.00,0.00",0,0,0,0,0,,1,0,0,,Cork foul on Galway; referee gave free kick
27:44:00,00:27:44,Galway,,Point Scores,No,0,Yes,Yes,Point,No,N/A,No,"0.00, 0.01",0,1,0,0,0,,1,0,0,,Galway scored a point
27:30:00,00:27:30,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,No,"0.00, 0.01",0,0,0,0,0,,1,0,0,,Restart after Galway point
27:26:00,00:27:26,Cork,9,Possession,No,0,No,No,N/A,No,N/A,No,"0.00, 0.01",0,0,0,0,0,,1,0,0,,Cork retained possession from kick-out
26:36:00,00:26:36,Galway,14,Foul Committed,No,0,No,No,N/A,No,N/A,No,"0.00, 0.01",0,0,0,0,0,,1,0,0,,Galway foul on Cork; free awarded to Cork
26:16:00,00:26:16,Cork,14,Free Kick,No,0,No,No,N/A,No,N/A,No,"0.00, 0.01",0,0,0,0,0,,1,0,0,,Resumed play after foul
25:45:00,00:25:45,Galway,7,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0.00, 0.01",0,0,0,0,0,,2,1,0,,Galway gains possession from Cork
25:26:00,00:25:26,Galway,15,Point Scores,No,0,Yes,Yes,Point,Yes,N/A,No,"0.00, 0.02",0,1,0,0,0,,2,0,0,,Galway scores a point after shot
24:58:00,00:24:58,Cork,Goal Keeper,Kick Out,Yes,1,Yes,No,N/A,Yes,Galway,Yes,"0.00, 0.02",0,0,0,0,0,,2,0,0,,Cork kick-out won by Galway
